name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
Hearst Corporation,Media,"Hearst Tower300 W. 57th StreetNew York, N.Y. 10019U.S.",,,,"March 4, 1887; 137 years ago (1887-03-04)San Francisco, California, U.S.","['William Randolph Hearst III', '(chairman)', 'Frank A. Bennack Jr.', '(executive vice chairman)', 'Steve Swartz', '(president and CEO)']",US$11.9 billion (2022),"20,000 (2016)",hearst.com,https://en.wikipedia.org/wiki/Hearst_Corporation,"['A+E Networks (50%)', 'ESPN Inc. (20%)', 'Fitch Group', 'First Databank', 'King Features Syndicate', 'NorthSouth Productions (50%)']",,,
Hills Brothers Coffee,Companies formerly based in the San Francisco Bay Area,purchased by Massimo Zanetti Beverage USA,,,,,,,,http://www.hillsbros.com,https://en.wikipedia.org/wiki/Hills_Brothers_Coffee,,,,
Hunt Brothers Cannery,Companies formerly based in the San Francisco Bay Area,moved from Hayward,,,,,,,,www.hunts.com,https://en.wikipedia.org/wiki/Hunt%27s,,,,
JanSport,Companies formerly based in the San Francisco Bay Area,Alameda acquired by VF Corporation,,,,,,,,jansport.com,https://en.wikipedia.org/wiki/JanSport,,,,
Jamba Juice,Companies formerly based in the San Francisco Bay Area,"Atlanta, Georgia, United States",,,Nasdaq: JMBA,"San Luis Obispo, California, U.S. (1990; 34 years ago (1990))",['Nathan Louer (Chief Brand Officer)'],,,www.jamba.com,https://en.wikipedia.org/wiki/Jamba_Juice,,,,
Knight-Ridder,Mass media,"San Jose, California, United States",,,,"July 11, 1974; 50 years ago (1974-07-11)",,,,,https://en.wikipedia.org/wiki/Knight-Ridder,,,,
Leslie Salt,Companies formerly based in the San Francisco Bay Area,purchased by Cargill in 1978,,,,,,,,,https://en.wikipedia.org/wiki/Leslie_Salt,,,,
Maxtor,Technology,"500 McCarthy Boulevard, Milpitas, California, United States",,,NYSE: MXO,1982; 42 years ago (1982),"['James McCoy', 'Jack Swartz', 'and Raymond Niedzwiecki (founders)']",,,,https://en.wikipedia.org/wiki/Maxtor_Corporation,,,,
McKesson Corporation,Healthcare,"Irving, Texas, U.S.",,,NYSE: MCKS&P 500 component,"New York City, U.S.1833; 191 years ago (1833)",['Brian S. Tyler (CEO)'],US$308.9 billion (2024),"c. 51,000 (2024)",McKesson.com,https://en.wikipedia.org/wiki/McKesson_Corporation,"['Rexall', 'Health Mart', 'Uniprix']","['John McKesson', 'Charles M. Olcott']",,
Mervyn's,Retail,"Hayward, California, U.S.",,defunct,,"July 29, 1949; 75 years ago (1949-07-29)San Lorenzo, California, U.S.","['John Goodman (CEO', '2008)']",,,https://mervynsonline.com/,https://en.wikipedia.org/wiki/Mervyn%27s,,,,
