name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
BioMarin Pharmaceutical,Biotechnology,"San Rafael, California, U.S.",,,Nasdaq: BMRNS&P 400 component,March 1997; 27 years ago (1997-03),"['Alexander Hardy (CEO & President)[1]', 'Jean-Jacques Bienaimé (Chairman)', 'Daniel Spiegelman (EVP & CFO)', 'Brian R. Mueller (SVP, finance & CAO)']",US$2.419 billion [2] (2023),"3,401 (2023)",biomarin.com,https://en.wikipedia.org/wiki/BioMarin_Pharmaceutical,,"['Christopher Starr, Ph.D.', 'Grant W. Denison Jr.']",,
Buck Institute for Age Research,Biotechnology,Novato,,,,,,,,buckinstitute.org,https://en.wikipedia.org/wiki/Buck_Institute_for_Age_Research,,,,
Calico,Health careBiotechnology,"U.S, South San Francisco, California, U.S.",,,,"September 18, 2013; 11 years ago (2013-09-18)",['Arthur D. Levinson (CEO)'],,,calicolabs.com,https://en.wikipedia.org/wiki/Calico_(company),,,,
Chiron,Biotechnology,"Emeryville, California, USA",,,,1981,,$1.921 billion (2005),"5,400 (2005)",www.chiron.com,https://en.wikipedia.org/wiki/Chiron_Corporation,,,,
Genentech,Biotechnology,"South San Francisco, California, United States",,,Nasdaq: DNA,1976; 48 years ago (1976),"['Ashley Magargee', '(interim CEO)[1]', 'Ed Harrington', 'Levi Garraway', 'Stephen Williams', 'Sean Johnston', 'Severin Schwan', '(chairman of Genentech Board of Directors, CEO of Roche Group)', 'Anna Batt', 'Aviv Regev[2][3]']",$26.4 billion (2020)[4],"13,539 (July 2021)",gene.com,https://en.wikipedia.org/wiki/Genentech,,,,
Gilead Sciences,PharmaceuticsBiotechnology,"Foster City, California, United States",140.0,,Nasdaq: GILDNasdaq Biotechnology componentNasdaq-100 componentS&P 100 componentS&P 500 component,"June 22, 1987; 37 years ago (1987-06-22)","[""Daniel O'Day (chairman and CEO)"", 'Andrew Dickinson (CFO)', 'Tomáš Cihlář (vice president, and senior director, Biology)']",US$27.12 billion (2023),"c. 18,000 (2023)",gilead.com,https://en.wikipedia.org/wiki/Gilead_Sciences,,,,
Intuitive Surgical,Medical Appliances & Equipment,"Sunnyvale, California, U.S.",,,Nasdaq: ISRGNasdaq-100 componentS&P 500 component,1995; 29 years ago (1995),"['Gary S. Guthart (CEO)', 'Dave Rosa (president)', 'Craig Barratt (chairman)']",US$7.12 billion (2023),"13,676 (2023)",intuitive.com,https://en.wikipedia.org/wiki/Intuitive_Surgical,,,,
"Mendel Biotechnology, Inc.",Agriculture,"Hayward, California, United States",,,,1997 (1997),,,,http://www.mbi-holdings.com/,"https://en.wikipedia.org/wiki/Mendel_Biotechnology,_Inc.",,,,
Nektar Therapeutics,Biopharmaceuticals,"San Francisco, California, U.S.",,,Nasdaq: NKTR,1990; 34 years ago (1990),,US$1.13 billion (2018)[1],718 (2020),nektar.com,https://en.wikipedia.org/wiki/Nektar_Therapeutics,,,,
Roche Molecular Systems,Pharmaceuticals,"Basel, Switzerland",,,SIX: RO (voting)SIX: ROG (non-voting),1 October 1896; 128 years ago (1896-10-01),"['Severin Schwan (chairman)', 'André Hoffmann (vice-chairman)', 'Thomas Schinecker(CEO)', 'Levi Garraway (CMO)[1][2][3]']",CHF 60.44 billion (2023),"103,605 (2023)",roche.com,https://en.wikipedia.org/wiki/Roche_Molecular_Systems,"['Genentech', 'Ventana']",,,
Signature BioScience,BioPharmaceutical Discovery and Development,"San Francisco (initially Richmond), USA",,,,1998,['Mark McDade who was succeeded by Robert J. Zimmerman'],,approximately 100,,https://en.wikipedia.org/wiki/Signature_BioScience,,,,
Verily Life Sciences,"Health care
Biotechnology","Dallas, Texas",,,,"December 7, 2015; 8 years ago (2015-12-07)",['Stephen Gillett (CEO)'],US$559 million (2022),"c. 1,100 (2023)",verily.com,https://en.wikipedia.org/wiki/Verily_Life_Sciences,['Lift Labs'],,,
Benefit Cosmetics,Cosmetics,"San Francisco, United States",,,,1976; 48 years ago (1976),,,,benefitcosmetics.com,https://en.wikipedia.org/wiki/Benefit_Cosmetics,,,,
Bianchi USA,Manufacturing,"Treviglio(Bergamo), Italy",,,,"Milan, Italy in 1885; 139 years ago (1885)",,,,bianchi.com,https://en.wikipedia.org/wiki/Bianchi_(company),,,,
CamelBak,Sports equipment,"Petaluma, California, U.S.",,,,1989; 35 years ago (1989),['Greg Williamson (President)'],,51–200,camelbak.com,https://en.wikipedia.org/wiki/CamelBak,,,,
Clorox,Consumer household goodsfoodpet carecommercial cleaning,"Clorox Building, Oakland, California, U.S.",474.0,,NYSE: CLXS&P 500 component,"May 3, 1913; 111 years ago (1913-05-03)",['Linda Rendle (CEO)'],US$7.09 billion[1] (2024),"8,000 (2024)",thecloroxcompany.com,https://en.wikipedia.org/wiki/Clorox,,"['Archibald Taft', 'Edward Hughes', 'Charles Husband', 'Rufus Myers', 'William Hussey']",,
GoPro,"Technology
Videography
Consumer electronics","San Mateo, California, U.S.",,,Nasdaq: GPRO (Class A)Russell 2000 component,2002; 22 years ago (2002),['Nick Woodman (CEO)'],US$1.01 billion (2023),930 (2023),gopro.com,https://en.wikipedia.org/wiki/GoPro,"['CineForm', 'Replay', 'Splice']",,,
Method,Consumer products,"Malle, Belgium",,,,1979,['Managing Director: Philip Malmberg'],,,www.ecover.com,https://en.wikipedia.org/wiki/Method_Products,,,,
Sephora,Cosmetics,"41 Rue Ybry, 92200 Neuilly-sur-Seine, France47°08′30″N 2°15′35″E﻿ / ﻿47.141791°N 2.2598276°E﻿ / 47.141791; 2.2598276",,,,"1969; 55 years ago (1969) in Paris, France[1]",['Guillaume Motte (CEO)'],Over US$10 billion (2019) (estimated)[2],,sephora.com,https://en.wikipedia.org/wiki/Sephora,,,,
Specialized Bicycle Components,Bicycles,"Morgan Hill, California, USA",,,,1974; 50 years ago (1974),"['Mike Sinyard', 'Founder']","US$500,000,000 (est.) (2011)[1]",1300 (2022)[1],specialized.com,https://en.wikipedia.org/wiki/Specialized_Bicycle_Components,,,,
Ammunition,"Product design, Industrial design, Interaction design, Strategy, Visual design, Branding","San Francisco, California, United States",,,,2007; 17 years ago (2007),"['Robert Brunner', 'Matt Rolandson']",,50,ammunitiongroup.com,https://en.wikipedia.org/wiki/Ammunition_Design_Group,,,,
fuseproject,Creative/design,San Francisco,,,,,,,,,https://en.wikipedia.org/wiki/Fuseproject,,,,
IDEO,Design firm[1],"San Francisco, California[4]",,,,"1991, with the merging of David Kelley Design (est 1978), Moggridge Associates (est 1969), ID Two (est 1979), and Matrix Product Design (est 1983).","['Derek Robson, CEO', 'Tim Brown, Chair']",,500+ (2023)[5],www.ideo.com,https://en.wikipedia.org/wiki/IDEO,,['David Kelley[2]Bill Moggridge[3] Mike Nuttall'],,
Landor Associates,Branding,"San Francisco, California, United States.",,,,1941; 83 years ago (1941),['Walter Landor'],,,landor.com,https://en.wikipedia.org/wiki/Landor_Associates,,,,
Traction,"Advertising, Marketing, Design, Interactive, Media, Strategy","San Francisco, CA, United States",,,,2001,"['Founders: Adam Kleinberg', 'Theo Fanning', 'Paul Giese']",,40 employees,www.tractionco.com,https://en.wikipedia.org/wiki/Traction_(agency),,,,
Chegg,EducationOnline retailing,"Santa Clara, California, U.S.",,,,July 2006; 18 years ago (2006-07),,US$767 million (2022),,,https://en.wikipedia.org/wiki/Chegg,['BusuuChegg TutorsZinchStudyBlueNotehallCramster'],,,
Course Hero,EdTech,"2000 Seaport BlvdRedwood City, California",,,,"October 2006; 18 years ago (2006-10) in Redwood City, California",,,,,https://en.wikipedia.org/wiki/Course_Hero,,,,
Coursera,E-learning,"Mountain View, California, U.S.",,,,,,US$636 million (2023) [1],,,https://en.wikipedia.org/wiki/Coursera,,,,
Khan Academy,Education,Mountain View,,,,,,,,,https://en.wikipedia.org/wiki/Khan_Academy,,,,
Magoosh,"Education, Internet","Berkeley, CA, USA",,,,2009; 15 years ago (2009),,,,magoosh.com,https://en.wikipedia.org/wiki/Magoosh,,,,
Quizlet,Education,"San Francisco, California",,,,,,Freemium (ads/subscriptions),,,https://en.wikipedia.org/wiki/Quizlet,,,,
Remind,Education,San Francisco,,,,,,,,,https://en.wikipedia.org/wiki/Remind,,,,
Udacity,Education,"Emeryville, California, US",,,,June 2011 (2011-06)[1],,$100 million (2018)[2],,,https://en.wikipedia.org/wiki/Udacity,,,,
Adaptec,Computer storage,"Milpitas, California, United States",,,Nasdaq: ADPT[1],1981; 43 years ago (1981),,,,,https://en.wikipedia.org/wiki/Adaptec,,,,
Advanced Micro Devices (AMD),Semiconductors,"Santa Clara, California, United States",448.0,,Nasdaq: AMDNasdaq-100 componentS&P 100 componentS&P 500 component,"May 1, 1969; 55 years ago (1969-05-01)","['Lisa Su (chair & CEO)', 'Mark Papermaster (CTO)']",US$22.68 billion (2023),"c. 26,000 (2023)",amd.com,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,,,,
Agilent Technologies,Healthcare equipment and services,"Santa Clara, California, U.S.",547.0,,NYSE: AS&P 500 component,1999; 25 years ago (1999),"['Padraig McDonnell (CEO)', 'Mike McMullen (CEO until April 2024)', 'Koh Boon Hwee (chairman)']",US$6.83 billion (2023),"c. 18,100 (2023)",agilent.com,https://en.wikipedia.org/wiki/Agilent_Technologies_Incorporated,,,,
Altera (Intel),Integrated circuits,"San Jose, California, United States",,,,June 1983; 41 years ago (June 1983),['Sandra L. Rivera (CEO)'],$1.932 billion (2014),"3,091 (2014)",altera.com,https://en.wikipedia.org/wiki/Altera,,,,
Antec,Computer industry Computer hardware Mobile devices,Taiwan[1],,,TPEx: 6276,1986; 38 years ago (1986),"['Frank Lee (CEO)', 'Wendy Tang', 'Eric Chen']",~US$ 61 million (2020),71,www.antec.com,https://en.wikipedia.org/wiki/Antec,,,,
Apple Inc.,Consumer electronicsSoftware servicesOnline services,"1 Apple Park Way, Cupertino, California, United States",4.0,,Nasdaq: AAPLNasdaq-100 componentDJIA componentS&P 100 componentS&P 500 component,"April 1, 1976; 48 years ago (1976-04-01), in Los Altos, California","['Arthur Levinson (chairman)', 'Tim Cook (CEO)', 'Jeff Williams (COO)', 'Luca Maestri (CFO)']",US$391.04 billion (FY 2024),"164,000 (FY 2024)",apple.com,https://en.wikipedia.org/wiki/Apple_Inc.,"['Apple Studios', 'Beats Electronics', 'Beddit', 'Braeburn Capital', 'Claris', 'Globalstar (20%)']","['Steve Jobs', 'Steve Wozniak', 'Ronald Wayne']","['App Store', 'Apple Card', 'Apple Music', 'Apple Pay', 'Apple TV+', 'iCloud']",
Applied Materials,Semiconductors,"Santa Clara, California, U.S.",218.0,,Nasdaq: AMATNasdaq-100 componentS&P 500 component,"November 10, 1967; 57 years ago (1967-11-10)","['Gary E. Dickerson (President & CEO)', 'Thomas J. Iannotti (Chairman)']",US$26.52 billion (2023),"c. 34,000 (2023)",appliedmaterials.com,https://en.wikipedia.org/wiki/Applied_Materials,,,,
Asus,Computer hardwareElectronicsNetworking hardware,"Beitou District, Taipei, Taiwan",,,TWSE: 2357,2 April 1989; 35 years ago (1989-04-02),"['Jonney Shih(Chairman & Chief Branding Officer)', 'Jonathan Tsang(Vice Chairman)']",NT$537.2 billion (2022)[1],"17,000[2]",www.asus.com,https://en.wikipedia.org/wiki/Asus,,"['Ted Hsu', 'M. T. Liao', 'Wayne Tsiah', 'T. H. Tung', 'Luca D. M.']",,
Barracuda Networks,Computer securityComputer data storage,"Campbell, California, U.S.",,,,2003; 21 years ago (2003),"['Hatem Naguib (CEO)', 'Erin Hintz (CMO)', 'Joe Billante (CFO)', ""Nell O'Donnell (GC)"", 'Neal Bradbury (CPO)', 'Geoff Waters (CRO)', 'Kim Mota (CHRO)']",US$352.65 million (2017),1001-5000,barracuda.com,https://en.wikipedia.org/wiki/Barracuda_Networks,,"['Dean Drako', 'Michael Perone', 'Zach Levow']",,
Broadcom Inc.,SemiconductorComputer software,"Stanford Research Park, Palo Alto, California, U.S.",138.0,,Nasdaq: AVGONasdaq-100 componentS&P 100 componentS&P 500 component,1961; 63 years ago (1961),['Henry Samueli (chairman)Hock Tan (president and CEO)'],US$35.82 billion (2023),"≈ 40,000 (June 2024)",broadcom.com,https://en.wikipedia.org/wiki/Broadcom_Inc.,['VMware'],,,
Brocade Communications Systems,Networking Hardware and Software,"San Jose, California, United States",,,Nasdaq: BRCD,1995; 29 years ago (1995),['Hock Tan (Broadcom CEO)'],,,Brocade Products,https://en.wikipedia.org/wiki/Brocade_Communications_Systems,,,,
Cisco Systems,Networking hardwareNetworking software,"San Jose, California, U.S.[2]",64.0,,"Nasdaq: CSCO
Nasdaq-100 component
DJIA component
S&P 100 component
S&P 500 component","December 10, 1984; 39 years ago (1984-12-10) in San Francisco, California, U.S.",['Chuck Robbins(CEO & chairman)'],US$53.80 billion (2024),"90,400 (2024)",cisco.com,https://en.wikipedia.org/wiki/Cisco_Systems_Incorporated,,"['Leonard Bosack', 'Sandy Lerner']",,
Digidesign,Technology,"Berkeley, California",,,,1984; 40 years ago (1984),,,,www.avid.com,https://en.wikipedia.org/wiki/Digidesign,,,,
Dust Networks,Specialized semiconductors,"30695 Huntwood AvenueHayward, CaliforniaUnited States",,,,2002,"['Kristofer S. J. Pister', 'co-founder and CTOJoy Weiss', 'President and CEO']",,c. 45 (2011),www.dustnetworks.com,https://en.wikipedia.org/wiki/Dust_Networks,,,,
E-mu Systems,Computer softwareComputer hardware,"Scotts Valley, California, U.S.",,,,1971; 53 years ago (1971),,,,www.emu.com,https://en.wikipedia.org/wiki/E-mu_Systems,,,,
Fairchild Semiconductor,"Semiconductors
Computer Networks
Lighting
Circuit protection","Sunnyvale, California, United States",,,Nasdaq: FCS,"October 1, 1957; 67 years ago (1957-10-01)","['Mark Thompson (chairman & CEO)[1]', 'Mark S. Frey (executive vice president, CFO & Treasurer)[1]']",US$1.370 billion (2015)[2],"6,379 (2015)[2]",,https://en.wikipedia.org/wiki/Fairchild_Semiconductor,,"['Sherman Fairchild', 'Arthur Rock']",,
Fitbit,Electronics,San Francisco,,,,,,,,fitbit.com/global,https://en.wikipedia.org/wiki/Fitbit,,,,"activity tracker, smartwatch"
Fujitsu Computer Products of America,Electronics,"Sunnyvale, California, United States",,,,,,,more than 150,http://www.fujitsu.com/us/about/platforms/fcpa/,https://en.wikipedia.org/wiki/Fujitsu_Computer_Products_of_America,,,,
Genesis Microchip,"Semiconductor, Electronics[1]","Santa Clara, California, US, Neihu District, Taipei City, Taiwan R.O.C., Markham, Ontario, Bangalore, India[3]",,,,1987 [2],"['CEO: Elie Antoun', '[1] OOO: Michael Lin & Tommy Lin']",236.98 million USD (2006) [1],563 (2006) [1],www.gnss.com,https://en.wikipedia.org/wiki/Genesis_Microchip,,,,
Hewlett Packard,Computer hardwareComputer softwareIT servicesIT consulting,"Palo Alto, California37°24′49″N 122°08′42″W﻿ / ﻿37.4136°N 122.1451°W﻿ / 37.4136; -122.1451, U.S.",58.0,,NYSE: HPQ (2002–2015),"July 2, 1939; 85 years ago (1939-07-02)",,"2,000,000,000 United States dollar (2015)",,,https://en.wikipedia.org/wiki/Hewlett_Packard,['List of subsidiaries'],"['Bill Hewlett', 'David Packard']",,
Hewlett Packard Enterprise,Information technology,"Spring, Houston, Texas, U.S.",109.0,,NYSE: HPES&P 500 component,"July 2, 1939; 85 years ago (1939-07-02) as Hewlett-PackardNovember 1, 2015; 9 years ago (2015-11-01) in San Jose, California","['Patricia Russo', '(Chairwoman)', 'Antonio Neri', '(President and CEO)']",US$29.1 billion (2023),"62,000 (2023)",hpe.com,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,"['Aruba Networks', 'Cray', 'Zerto', 'Silver Peak Systems', 'Axis Security', 'Athonet']",,['Consulting'],
Hitachi Data Systems,Computer data storage systemsData storage softwareComputer systemsComputer hardwareComputer softwareIT consultingIT services,"Santa Clara, California, U.S.",,,,1989[1],['Gajen Kandiah (Chief Executive Officer)'],,"6,300 employees in more than 100 countries and regions",Hitachi Vantara,https://en.wikipedia.org/wiki/Hitachi_Data_Systems,,,,
Hitachi Global Storage Technologies,Computer storage devices,"San Jose, United States",,,,2003; 21 years ago (2003),['Mike Cordano (President)'],,"45,000",https://www.hgst.com/,https://en.wikipedia.org/wiki/Hitachi_Global_Storage_Technologies,,,,
Integrated Device Technology,Semiconductor industry,"San Jose, California, United States",,,Nasdaq: IDTI,1980; 44 years ago (1980),['Sailesh Chittipeddi(president & CEO)'],US$ 728.24 million(APR 2 2017),"1,623(APR 2 2017)",,https://en.wikipedia.org/wiki/Integrated_Device_Technology,,,,
Intel,Semiconductors,"Santa Clara, California, U.S.
37°23′16″N 121°57′49″W﻿ / ﻿37.38778°N 121.96361°W﻿ / 37.38778; -121.96361",45.0,,Nasdaq: INTCNasdaq-100 componentS&P 100 componentS&P 500 component,"July 18, 1968; 56 years ago (1968-07-18)",['Frank D. Yeary (chairman)David Zinsner and MJ Holthaus as interim co-CEOs[1][2]'],US$54.23 billion (2023),"124,800 (2023)",intel.com,https://en.wikipedia.org/wiki/Intel,"['Mobileye (94.2%)', 'Intel Ireland']","['Gordon Moore', 'Robert Noyce', 'Arthur Rock']",,
Jawbone,Electronics,San Francisco,,,,,,,,,,,,,
JDS Uniphase,Optical products and broadband communications,"Milpitas, California, U.S.[1]",,,Nasdaq: JDSU,1981; 43 years ago (1981),"['Thomas H. Waechter[1] (CEO', 'president and Director)David W. Vellequette (CFO)']",US$ 1.709 billion (2015)[2],"5,100 (2015)[1]",JDSU.com at the Wayback Machine (archived 1 August 2015),https://en.wikipedia.org/wiki/JDS_Uniphase,,,,
Juniper Networks,Networking hardware,"Sunnyvale, California, United States",,,NYSE: JNPRS&P 500 component,"February 6, 1996; 28 years ago (1996-02-06)","['Scott Kriens (chairman)', 'Pradeep Sindhu (vice chairman)', 'Rami Rahim (CEO)']",US$5.56 billion (2023),"11,144 (2023)",juniper.net,https://en.wikipedia.org/wiki/Juniper_Networks,,,,
Keysight,Electronics,"Santa Rosa, California, U.S.[1]",,,NYSE: KEYSS&P 500 component,2014; 10 years ago (2014),['Ron Nersesian (chairman)Satish Dhanasekaran (CEO & president)[2]'],US$5.46 billion (2023),"c. 14,900 (2023)",keysight.com,https://en.wikipedia.org/wiki/Keysight,,,,
KLA Tencor,Semiconductors,"Milpitas, California, United States",,,Nasdaq: KLACNasdaq-100 componentS&P 500 component,1997; 27 years ago (1997) (merger of KLA and Tencor),"['Robert Calderoni (chairman)', 'Richard P. Wallace (CEO & president)']",US$9.81 billion (2024),"c. 15,000 (2024)",kla.com,https://en.wikipedia.org/wiki/KLA_Tencor,,,,
Lam Research,Semiconductors,"Fremont, California, U.S.",331.0,,Nasdaq: LRCXNasdaq-100 componentS&P 500 component,1980; 44 years ago (1980),['Tim Archer (CEO and president)Abhi Talwalkar (chairman)'],US$14.9 billion (2024),"17,450 (2024)",lamresearch.com,https://en.wikipedia.org/wiki/Lam_Research,,,,
Logitech,ElectronicsTechnology,"Lausanne, Switzerland& San Jose, California",,,"SIX: LOGN
Nasdaq: LOGI
Swiss Market Index component","2 October 1981; 43 years ago (1981-10-02) in Apples, Switzerland","['Wendy Becker (chairperson)', 'Hanneke Faber (CEO)', 'Prakash Arunkundrum (COO)', 'Matteo Anversa (CFO)']",US$4.30 billion (2024),"c. 7,300 (2024)",www.logitech.com,https://en.wikipedia.org/wiki/Logitech,"['3Dconnexion', 'Mirial s.u.r.l.', 'SightSpeed']","['Daniel Borel', 'Pierluigi Zappacosta', 'Giacomo Marini']",,
Marvell,Semiconductors,"Santa Clara, California, U.S.",,,Nasdaq: MRVLNasdaq-100 component,1995; 29 years ago (1995),"['Matthew Murphy (chairman, president and CEO)', 'Chris Koopmans (COO)']",US$5.508 billion (2024),"6,577 (2024)",marvell.com,https://en.wikipedia.org/wiki/Marvell_Technology_Group,"['Inphi Corporation', 'Marvell Software Solutions Israel']","['Sehat Sutardja', 'Weili Dai', 'Pantas Sutardja']",,
Maxim Integrated,Semiconductors,"San Jose, California, U.S.",,,Nasdaq: MXIM,1983; 41 years ago (1983),,US$2.632 billion (2021),"7,100 (2020)",maximintegrated.com,https://en.wikipedia.org/wiki/Maxim_Integrated,,,,
Microchip Technology,Semiconductors,"Chandler, Arizona, U.S.",,,Nasdaq: MCHPNasdaq-100 componentS&P 500 component,1989; 35 years ago (1989),"['Steve Sanghi (president, CEO & chairman)', 'Ganesh Moorthy (former president & CEO)', 'J. Eric Bjornholt (CFO)']",US$7.634 billion (2024),"c. 22,300 (2024)",microchip.com,https://en.wikipedia.org/wiki/Microchip_Technology,,,,
Monster Cable Products,Consumer electronics,"Brisbane, California, U.S.",,,,1978; 46 years ago (1978),['Noel Lee (Founder & CEO)'],,600+,monsterstore.com,https://en.wikipedia.org/wiki/Monster_Cable_Products,,,,
Nest Labs,Home automation,"Palo Alto, California, U.S.",,,,2010; 14 years ago (2010),"['Rick Osterloh (SVP, Devices & Services)', 'Rishi Chandra (VP/GM, Google Nest)']",,"1,100 (2015)",nest.com,https://en.wikipedia.org/wiki/Nest_Labs,,['Tony FadellMatt Rogers'],,
NetApp,Cloud computingStorage device,"Cork City, Ireland",478.0,,Nasdaq: NTAPS&P 500 component,1992; 32 years ago (1992),"['George Kurian (CEO)', 'César Cernuda (president)', 'Mike Nevens (chairman)']",US$6.27 billion (2024),"11,800 (2024)",www.netapp.com,https://en.wikipedia.org/wiki/NetApp,,"['David Hitz', 'James Lau', 'Michael Malcolm']",,
Nvidia,Semiconductors,"Santa Clara, California, U.S",292.0,,Nasdaq: NVDANasdaq-100 componentDJIA componentS&P 100 componentS&P 500 component,"April 5, 1993; 31 years ago (1993-04-05), in Sunnyvale, California, U.S","['Jensen Huang (president and CEO)', 'Bill Dally (Chief scientist)']",US$60.92 billion (FY 2024),"29,600 (FY 2024)",nvidia.com,https://en.wikipedia.org/wiki/Nvidia_Corporation,"['Bright Computing', 'Cumulus Networks', 'DeepMap', 'Mellanox Technologies', 'Nvidia Advanced Rendering Center']","['Jensen Huang', 'Chris Malachowsky', 'Curtis Priem']",,
Philips Lumileds Lighting Company,Semiconductor,"Schiphol, Haarlemmermeer, The Netherlands",,,,1999,"['Steve Barlow succeeded Matt Roney as CEO - November 2022\n\nSteve Barlow', 'President', 'Automotive BU\nLeon Pikaar', 'SVP & GM', 'LED Solutions BU\nShatil Haque', 'Chief Operating Officer\nCheree McAlpine', 'Chief Legal Officer\nJan Paul Teuwen', 'Chief Financial Officer\nOleg Shchekin', 'Chief Technology Officer\n\nAlex Klein', 'Chief HR Officer']",,>7000 (2021),www.lumileds.com,https://en.wikipedia.org/wiki/Philips_Lumileds_Lighting_Company,,,,
Plantronics (Now Poly),Consumer electronics,"Santa Cruz, California, U.S.",,,,1961; 63 years ago (1961),['Dave Shull (President and CEO)'],US$1.68 billion (2022),"c. 6,500 (April 2022)",www.poly.com,https://en.wikipedia.org/wiki/Plantronics,"['Polycom', 'Inc.']",,,
Rambus,Semiconductors,"San Jose, California, U.S.",,,Nasdaq: RMBSS&P 400 component,March 1990; 34 years ago (1990-03),['Luc Seraphin (CEO)'],US$461 million (2023),623 (2023),rambus.com,https://en.wikipedia.org/wiki/Rambus,['Cryptography Research'],"['Mark Horowitz', 'Mike Farmwald']",,
Sanmina-SCI,Electronics Manufacturing Services,"San Jose, California, U.S.",385.0,,Nasdaq: SANMS&P 600 component,1980; 44 years ago (1980),['Jure Sola (chairman and CEO) [1]'],US$7.89 billion (2022),"c. 34,000 (2022)",sanmina.com,https://en.wikipedia.org/wiki/Sanmina-SCI,,,,
Seagate Technology,Computer storage,"Fremont, California, United States (operational)Dublin, Ireland (legal domicile)",174.0,,Nasdaq: STXS&P 500 component,"November 1, 1979; 45 years ago (1979-11-01) (as Shugart Technology)",['Michael R. Cannon (chairman)Dave Mosley (CEO)'],US$6.55 billion (2024),"30,000 (2024)",seagate.com,https://en.wikipedia.org/wiki/Seagate_Technology,['LaCie'],"['Alan Shugart', 'Tom Mitchell', 'Doug Mahon', 'Finis Conner', 'Syed Iftikar']",,
Silicon Graphics,Computer hardware and software,"Sunnyvale, California, U.S.",,acquired by Rackable Systems,NYSE: SGIOTC Pink: SGID.pkNasdaq: SGIC,"November 9, 1981; 43 years ago (1981-11-09)Mountain View, California, U.S.[1]",['Jim ClarkWei YenKurt AkeleyEd McCrackenThomas JermolukMarc HannahRick Belluzzo'],,,,https://en.wikipedia.org/wiki/Silicon_Graphics,,,,
Silicon Image,Semiconductors,"Hillsboro, Oregon, USA",,,,"1995; 29 years ago (1995) in Sunnyvale, California",['Darin Billerbeck (CEO)'],,,,https://en.wikipedia.org/wiki/Silicon_Image,,,,
Solectron Corporation,"Electronics Manufacturing Services, product design and after sales services",Milpitas,,,NYSE: SLR,1977,,US$10.56 billion (2006)[2],,,https://en.wikipedia.org/wiki/Solectron_Corporation,,,,
Sony Optiarc America Inc.,Electronics,San Jose,,,,,,,,www.optiarcinc.com,https://en.wikipedia.org/wiki/Sony_Optiarc,,,,
Supermicro,Information technology,"San Jose, California, U.S.",,,Nasdaq: SMCINasdaq-100 componentS&P 500 component,1993; 31 years ago (1993),"['Charles Liang (chairman, president and CEO)', 'David Weigand (CFO)', 'Don Clegg  (SVP of Worldwide Sales)', 'George Kao (SVP of Operations)']",US$7.12 billion (2023),"5,126 (June 2023)",supermicro.com,https://en.wikipedia.org/wiki/Supermicro,,"['Charles Liang', 'Sara Liu']",,
Synnex,"IT services, IT consulting","Fremont, California, U.S.",130.0,,,1980; 44 years ago (1980),['Dennis Polk(President & CEO)[1]'],US$23.757 billion (2019)[2],"240,000 (2019)[2]",synnexcorp.com,https://en.wikipedia.org/wiki/Synnex,,['Robert T. Huang'],"['Outsourcing', 'Managed services', 'IT Consulting', 'Systems integration', 'Supply chain management']",
Synopsys,"Integrated circuit
Software as a service
Software Testing
Internet of Things","Sunnyvale, California, U.S.",,,Nasdaq: SNPSNasdaq-100 componentS&P 500 component,"1986; 38 years ago (1986), in Research Triangle Park, North Carolina, U.S.","['Aart de Geus (chairman)', 'Sassine Ghazi (president & CEO)']",US$5.84 billion (2023),"c. 20,300 (2023)",www.synopsys.com,https://en.wikipedia.org/wiki/Synopsys,,"['Aart de Geus', 'David Gregory', 'Bill Krieger']",,
TDK,Electronics,"Nihonbashi, Chūō, Tokyo, Japan",,,TYO: 6762,"December 7, 1935; 88 years ago (1935-12-07) as Tokyo Denki Kagaku Kōgyō K.K.",['Noboru Saito (CEO)'],US$13.56 billion(2021)[2],"102,883[2]",www.tdk.com,https://en.wikipedia.org/wiki/TDK,,,,
Terayon,Communications and networking,"Santa Clara, California, United States",,,,1993,,$136.48m (2004),,www.terayon.com,https://en.wikipedia.org/wiki/Terayon,,,,
THX,Motion picture industry,"San Rafael, California, U.S.",,,,"May 20, 1983; 41 years ago (1983-05-20)","['Tuyen Pham (CEO)', 'Aaron Endo (CFO)', 'Tomlinson Holman (original developer)', 'George Lucas']",,,thx.com,https://en.wikipedia.org/wiki/THX,,['George LucasTomlinson Holman'],"['Sound recording and reproduction', 'Quality assurance', 'Audio crossover']",
Touchstone Semiconductor,Electronics,Milpitas,,,,,,,,,https://en.wikipedia.org/wiki/Touchstone_Semiconductor,,,,
Western Digital,Computer storage,"San Jose, California, U.S.",198.0,,Nasdaq: WDCS&P 500 component,"April 23, 1970; 54 years ago (1970-04-23) in Newport Beach, California",['David Goeckeler (CEO)[1]'],US$12.3 billion (2023),"c. 53,000 (2023)",westerndigital.com,https://en.wikipedia.org/wiki/Western_Digital,,,,
